anio,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
2024,75,260,27,50
2023,569,1553,299,584
2022,661,1679,162,278
2021,777,1672,227,321
2020,966,1760,153,252
2019,1124,2004,11,40
2018,38,111,0,0
