anio,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
2023,524,1427,288,559
2022,660,1680,160,280
2021,775,1674,230,319
2020,960,1768,154,251
2019,1119,2011,11,40
2018,38,111,0,0
