anio,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
2023,570,1552,299,585
2022,661,1679,162,278
2021,777,1672,228,321
2020,966,1762,153,252
2019,1124,2004,11,40
2018,38,111,0,0
