anio,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
2023,470,1321,272,532
2022,660,1681,161,280
2021,775,1675,230,319
2020,960,1768,154,251
2019,1119,2012,11,40
2018,38,114,0,0
