anio,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
2023,436,1194,262,493
2022,662,1679,161,280
2021,777,1673,230,319
2020,960,1768,154,251
2019,1119,2012,11,40
2018,38,114,0,0
